Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
1995,Industrial,Other non-transport,9920.469234945243,39337.03278816532,,
1995,Industrial,Process use,14626.82830816631,57998.871940292716,,
1995,Industrial,Space heating,4848.843682891228,19226.824701667785,,
1995,Industrial,Unknown industrial heat,234.1971276587013,928.6476144850745,,
1995,Services,Cooking/ Catering,2206.7061348702887,1386.2364741947542,,
1995,Services,Lighting/ Appliances,4233.961430259424,2659.7432581590215,,
1995,Services,Other non-transport,2725.821955825893,1712.3411937896503,,
1995,Services,Space heating,10344.87523885706,6498.5741193585645,,
1995,Services,Water ,1667.4352401873336,1047.470486341509,,
1996,Domestic,Cooking/ Catering,1387.9812345266125,2645.3269598684114,,
1996,Domestic,Lighting/ Appliances,7794.086555951298,14854.600898864375,,
1996,Domestic,Space heating,30293.335815843795,57735.49090188542,,
1996,Domestic,Water ,8644.481215888298,16475.351860405088,,
1996,Industrial,Drying/Separation,2821.3787718808417,11940.158977371924,,
1996,Industrial,Lighting/ Appliances,297.43839576000823,1258.768147951089,,
1996,Industrial,Motors/Drivers,3196.382263543605,13527.184920910167,,
1996,Industrial,Other non-transport,9426.515589486495,39893.294676669946,,
1996,Industrial,Process use,13898.538648351861,58819.029429302704,,
1996,Industrial,Space heating,4607.413166178682,19498.70971841757,,
1996,Industrial,Unknown industrial heat,222.5361343908136,941.7795474036192,,
1996,Services,Cooking/ Catering,2303.49832362666,1468.7932431282895,,
1996,Services,Lighting/ Appliances,4419.674601337798,2818.143223586214,,
1996,Services,Other non-transport,2845.3839895264377,1814.3190012580212,,
1996,Services,Space heating,10798.629864793882,6885.594149459116,,
1996,Services,Water ,1740.573527137682,1109.8521798803595,,
1997,Domestic,Cooking/ Catering,1291.5118182913648,2436.0500130670935,,
